,Organization Name,Organization Name URL,Transaction Name,Transaction Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Diversity Spotlight (US Headquarters Only),Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location
10,OndaLocal,https://www.crunchbase.com/organization/ondalocal,Seed Round - OndaLocal,https://www.crunchbase.com/funding_round/ondalocal-seed--0ca918e5,1600000.0,USD,1600000.0,Seed,"Advertising, Automotive, Internet, Local, Small and Medium Businesses",2014-01-01,Rigi Ventures,Rigi Ventures,Seed,,,,,,,Yes,OndaLocal is an online marketing company offering a complete and automated online marketing solution for small and medium sized businesses,,http://www.ondalocal.com.br,Less than $1M,Seed,3,"São Paulo, Sao Paulo, Brazil, South America"
11,MaxMilhas,https://www.crunchbase.com/organization/maxmilhas,Seed Round - MaxMilhas,https://www.crunchbase.com/funding_round/maxmilhas-seed--47293941,,USD,,Seed,"Collaboration, E-Commerce, Internet, Ticketing",2014-01-01,,21212,Seed,,,,,,,Yes,"MaxMilhas mediates transactions, allowing people across Brazil to select economic packages and join with a variety of mileage programs.",,https://www.maxmilhas.com.br/,Less than $1M,Seed,1,"Belo Horizonte, Minas Gerais, Brazil, South America"
12,Zarpo,https://www.crunchbase.com/organization/zarpo,Venture Round - Zarpo,https://www.crunchbase.com/funding_round/zarpo-series-unknown--0cb4eed4,,USD,,Venture - Series Unknown,"E-Commerce, Leisure, Ticketing, Tourism, Transportation, Travel, Travel Agency",2014-01-01,,Rockaway Capital,,,,,,,,Yes,Zarpo is a leading Brazilian online travel agency offering to its members exclusive deals on the best resorts and a best-in-class service.,,http://www.zarpo.com.br,$1M to $10M,M&A,2,"São Paulo, Sao Paulo, Brazil, South America"
13,Nibo,https://www.crunchbase.com/organization/nibo,Series A - Nibo,https://www.crunchbase.com/funding_round/nibo-series-a--fd255987,6631493.0,USD,6631493.0,Series A,"Accounting, Finance, Financial Services, FinTech, Information Technology, Internet, Network Security, SaaS, Software",2014-01-01,,Redpoint eventures,Early Stage Venture,,,,,,,Yes,Nibo designs and develops online financial management software for small and medium businesses.,,http://www.nibo.com.br,$10M to $50M,Early Stage Venture,4,"Rio De Janeiro, Rio de Janeiro, Brazil, South America"
14,Quero Rock,https://www.crunchbase.com/organization/quero-rock,Angel Round - Quero Rock,https://www.crunchbase.com/funding_round/quero-rock-angel--0c00f04a,166000.0,BRL,70265.0,Angel,"Events, Internet, Music, Search Engine, Social Network",2014-01-01,,,Seed,166000.0,BRL,70265.0,,,,Yes,Quero Rock has come about through great difficulty in finding new Rock bands that are as good as the bands already on mainstream.,,http://www.querorock.com/,Less than $1M,Seed,1,"São Paulo, Sao Paulo, Brazil, South America"
15,Mobdiq,https://www.crunchbase.com/organization/mobdiq,Seed Round - Mobdiq,https://www.crunchbase.com/funding_round/mobdiq-seed--a4ba63cf,,USD,,Seed,"Advertising, Advertising Platforms, Affiliate Marketing, B2B, B2C, Brand Marketing, Information Technology, Lead Management, Mobile Advertising, Sales",2014-01-01,,,Seed,,,,,,,Yes,Mobdiq is an influencer marketing platform (affiliate marketing 2.0) that enables users to become lead/sales generators for companies.,,http://mobdiq.com.br/,Less than $1M,Seed,5,"Rio De Janeiro, Rio de Janeiro, Brazil, South America"
16,InfoPrice,https://www.crunchbase.com/organization/infoprice-2,Venture Round - InfoPrice,https://www.crunchbase.com/funding_round/infoprice-2-series-unknown--959d1bbf,17000000.0,BRL,3336858.0,Venture - Series Unknown,"Analytics, Big Data, Business Intelligence, Personalization, Predictive Analytics, Retail, Retail Technology, Software",2014-01-01,,Bossanova Investimentos,,,,,,,,Yes,INFOPRICE is a business intelligence company focused on physical retail pricing.,,https://www.infoprice.co,$1M to $10M,M&A,5,"São Paulo, Sao Paulo, Brazil, South America"
17,Razoom,https://www.crunchbase.com/organization/razoom-2,Seed Round - Razoom,https://www.crunchbase.com/funding_round/razoom-2-seed--dba0f6f4,,USD,,Seed,"Apps, SaaS, Travel",2014-01-01,,21212,Seed,,,,,,,Yes,Razoom is an integrated mobile application for tour operators to manage all related activities and receive online payments.,,http://www.razoom.com.br/,,Seed,2,"Botafogo, Rio de Janeiro, Brazil, South America"
18,Fridom,https://www.crunchbase.com/organization/marerua-ltd,Seed Round - Fridom,https://www.crunchbase.com/funding_round/marerua-ltd-seed--53c2def6,1432000.0,USD,1432000.0,Seed,"Customer Service, Emerging Markets, Fashion, Infrastructure, Lifestyle, Logistics, Marketing Automation, Mobile",2014-01-01,,"Eduardo Steiner, Kees Koolen",Seed,532000.0,USD,532000.0,,,,Yes,Fridom is a digital marketing agency.,,http://www.fridom.com.br,Less than $1M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America"
19,Maestro Frotas,https://www.crunchbase.com/organization/maestro-frotas,Private Equity Round - Maestro Frotas,https://www.crunchbase.com/funding_round/maestro-frotas-private-equity--3a2515e7,,USD,,Private Equity,"Business Intelligence, Fleet Management, Outsourcing",2014-01-01,,Stratus Group,Private Equity,,,,,,,Yes,Maestro Frotas is a firm that provides outsourcing and fleet management services such as documentation and fleet maintenance.,,http://www.maestrolocadora.com.br,,IPO,2,"São Paulo, Sao Paulo, Brazil, South America"
20,Cinesystem,https://www.crunchbase.com/organization/cinesystem,Private Equity Round - Cinesystem,https://www.crunchbase.com/funding_round/cinesystem-private-equity--0c28828f,,USD,,Private Equity,"Film Production, Media and Entertainment",2014-01-01,,Stratus Group,Private Equity,,,,,,,Yes,Cinesystem is a movie theatre network with screens distributed across Brazil.,,http://www.cinesystem.com.br,,Private Equity,1,"Maringá, Parana, Brazil, South America"
21,Laqus,https://www.crunchbase.com/organization/mark-2-market,Seed Round - Laqus,https://www.crunchbase.com/funding_round/mark-2-market-seed--44ccf26d,12175000.0,BRL,2745874.0,Seed,"Accounting, AgTech, Finance, Financial Services, FinTech, Software",2013-12-31,A5 Capital Partners,A5 Capital Partners,Seed,1175000.0,BRL,497695.0,,,,Yes,"Laqus provides financial market infrastructure, software and consulting services in treasury management, financial risks, and accounting.",,https://www.laqus.com.br,$1M to $10M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America"
22,BoaConsulta,https://www.crunchbase.com/organization/boaconsulta-com,Seed Round - BoaConsulta,https://www.crunchbase.com/funding_round/boaconsulta-com-seed--dacf2195,5000000.0,USD,5000000.0,Seed,"Consulting, Health Care, Insurance, Medical, Scheduling",2013-12-27,,"Kees Koolen, Trindade Investimentos, Valor Capital Group",Seed,1000000.0,USD,1000000.0,,,,Yes,BoaConsulta offers an online healthcare scheduling platform as well as a management software for practices.,,https://www.boaconsulta.com/,$1M to $10M,M&A,4,"São Paulo, Sao Paulo, Brazil, South America"
23,Mandic,https://www.crunchbase.com/organization/mandic,Venture Round - Mandic,https://www.crunchbase.com/funding_round/mandic-series-unknown--70ed6f2f,,USD,,Venture - Series Unknown,"Cloud Computing, Cloud Data Services, Cloud Infrastructure, DevOps, Information Services, Information Technology, SaaS, Software",2013-12-18,,Intel Capital,,,,,,,,Yes,Mandic provides cloud computing solutions to medium enterprises and corporations in Brazil.,,http://www.mandic.com.br/,Less than $1M,M&A,4,"São Paulo, Sao Paulo, Brazil, South America"
24,Tao Sales,https://www.crunchbase.com/organization/tao-sales,Seed Round - Tao Sales,https://www.crunchbase.com/funding_round/tao-sales-seed--71c35118,20000.0,USD,20000.0,Seed,"Analytics, Big Data, Software, Training",2013-12-18,,,Seed,20000.0,USD,20000.0,,,,Yes,Tao Sales is a sales Intelligence and training platform that improves salesman performance and delivers data to managers.,,http://taosales.com.br,Less than $1M,Seed,1,"Gerais, Bahia, Brazil, South America"
25,Zase,https://www.crunchbase.com/organization/zase,Funding Round - Zase,https://www.crunchbase.com/funding_round/zase-undisclosed--ec54c6c1,95000.0,USD,95000.0,Funding Round,"Customer Service, Loyalty Programs, Mobile Apps",2013-12-16,,,,30000.0,USD,30000.0,,,,Yes,"Zase is a location based loyalty program that allows the user to check-in everywhere, earn points, and redeem for rewards.",,http://www.zase.com.br,,Seed,3,"São Paulo, Sao Paulo, Brazil, South America"
26,PiniOn,https://www.crunchbase.com/organization/pinion-app,Angel Round - PiniOn,https://www.crunchbase.com/funding_round/pinion-app-angel--90aa6a87,3365205.0,USD,3365205.0,Angel,"Android, Apps, Big Data, Crowdsourcing, iOS, Market Research, Mobile, Price Comparison",2013-12-15,,,Seed,250000.0,USD,250000.0,,,,Yes,"PiniOn is a mobile crowdsourcing platform that engages people to perform micro-tasks, becoming top 10 app for extra income in Brazil",,https://pinion.business/,$10M to $50M,Private Equity,6,"São Paulo, Sao Paulo, Brazil, South America"
27,Agrid,https://www.crunchbase.com/organization/agrid,Seed Round - Agrid,https://www.crunchbase.com/funding_round/agrid-seed--ba89a658,90000.0,USD,90000.0,Seed,"E-Commerce, Family, Information Technology, Internet, Wedding",2013-12-13,,,Seed,90000.0,USD,90000.0,,,,Yes,Agrid is a wedding services company that bridges the need  and options of the service that the customers want.,,http://www.agrid.com.br/,Less than $1M,Seed,1,"Belo Horizonte, Minas Gerais, Brazil, South America"
28,XLabs ON Security,https://www.crunchbase.com/organization/xlabs-on-security-34b4,Seed Round - XLabs ON Security,https://www.crunchbase.com/funding_round/xlabs-on-security-34b4-seed--d3df5625,40000.0,USD,40000.0,Seed,"Cyber Security, Internet, Security, Software",2013-12-13,,Start-Up Chile,Seed,40000.0,USD,40000.0,,,,Yes,"Security for datacenter, website, servers, API and web applications.",,https://www.on-security.com/,Less than $1M,Seed,1,"São Leopoldo, Rio Grande do Sul, Brazil, South America"
29,Vá de Táxi,https://www.crunchbase.com/organization/vá-de-táxi,Seed Round - Vá de Táxi,https://www.crunchbase.com/funding_round/vá-de-táxi-seed--5fe845b4,1200000.0,BRL,519383.0,Seed,"Car Sharing, Internet, Ride Sharing, Software, Transportation",2013-12-10,,,Seed,1200000.0,BRL,519382.0,,,,Yes,Vá de Táxi develops a smartphone application that enables users to track the arrival of their cabs from within the application.,,http://www.vadetaxi.com.br,$1M to $10M,Seed,1,"São Paulo, Sao Paulo, Brazil, South America"
30,OvermediaCast,https://www.crunchbase.com/organization/overmediacast,Seed Round - OvermediaCast,https://www.crunchbase.com/funding_round/overmediacast-seed--68ad0dfb,,USD,,Seed,"Analytics, Mobile, Video, Video Streaming",2013-12-10,,Wayra,Seed,,,,,,,Yes,OvermediaCast is a marketing company that helps banks to improve the experience of millions of customers.,,http://overmediacast.com,,Seed,3,"São Paulo, Sao Paulo, Brazil, South America"
31,Codifique,https://www.crunchbase.com/organization/codifique,Convertible Note - Codifique,https://www.crunchbase.com/funding_round/codifique-convertible-note--e7685e7c,97087.0,EUR,133526.0,Convertible Note,"Apps, Crowdsourcing, Developer Platform, Internet, Marketplace, Mobile, Project Management, Software",2013-12-05,,Wayra,,32506.0,EUR,44445.0,,,,No,"Codifique is a software development marketplace that manages web, mobile, and social projects with agility and security.",,http://codifique.com.br,$1M to $10M,,2,"São Paulo, Sao Paulo, Brazil, South America"
32,Dujour App,https://www.crunchbase.com/organization/dujour-app,Angel Round - Dujour App,https://www.crunchbase.com/funding_round/dujour-app-angel--535a7acc,300000.0,BRL,123592.0,Angel,"Apps, E-Commerce, Fashion, Mobile",2013-12-01,,,Seed,100000.0,BRL,42815.0,,,,Yes,Dujour is an app that helps people find daily fashion inspiration and share their style with the world.,,https://www.dujourapp.com,,Seed,3,"Rio De Janeiro, Rio de Janeiro, Brazil, South America"
33,Proprietário Direto,https://www.crunchbase.com/organization/proprietariodireto,Seed Round - Proprietário Direto,https://www.crunchbase.com/funding_round/proprietariodireto-seed--d17e7d73,393286.0,USD,393286.0,Seed,"Property Management, Real Estate",2013-12-01,,Wayra,Seed,201196.0,EUR,273429.0,1005981.0,EUR,1367147.0,Yes,Proprietário Direto is a platform that directly connects real estate sellers and buyers allowing a reduction in transaction costs and time.,,http://www.proprietariodireto.com.br,Less than $1M,Seed,3,"São Paulo, Sao Paulo, Brazil, South America"
34,Kenlo,https://www.crunchbase.com/organization/ingaia,Seed Round - Kenlo,https://www.crunchbase.com/funding_round/ingaia-seed--941817fb,122800000.0,BRL,28354648.0,Seed,"Real Estate, SaaS, Software",2013-12-01,,,Seed,4000000.0,BRL,1712613.0,,,,Yes,Kenlo is a SaaS technology provider for the Brazilian real estate industry.,,http://www.kenlo.com.br/,,,6,"Campina, Sao Paulo, Brazil, South America"
35,Joincube,https://www.crunchbase.com/organization/joincube-com,Seed Round - Joincube,https://www.crunchbase.com/funding_round/joincube-com-seed--884803f7,651397.0,USD,651397.0,Seed,"Computer, Enterprise Software, Information Technology, Social Media, Social Network, Software",2013-12-01,,Wayra,Seed,500000.0,USD,500000.0,,,,Yes,Joincube is the leading Enterprise Social Network in Latin America helping companies reduce unnecessary emails and save time managing tasks.,,http://www.joincube.com,$1M to $10M,Seed,4,"São Paulo, Sao Paulo, Brazil, South America"
36,Mandic,https://www.crunchbase.com/organization/mandic,Series B - Mandic,https://www.crunchbase.com/funding_round/mandic-series-b--671f0eaf,,USD,,Series B,"Cloud Computing, Cloud Data Services, Cloud Infrastructure, DevOps, Information Services, Information Technology, SaaS, Software",2013-12-01,,Intel Capital,Early Stage Venture,,,,,,,Yes,Mandic provides cloud computing solutions to medium enterprises and corporations in Brazil.,,http://www.mandic.com.br/,Less than $1M,M&A,4,"São Paulo, Sao Paulo, Brazil, South America"
37,ASAAS,https://www.crunchbase.com/organization/asaas,Seed Round - ASAAS,https://www.crunchbase.com/funding_round/asaas-seed--bdf1fc88,32634057.0,USD,32634057.0,Seed,"Billing, FinTech, Information Technology, Payments, Software",2013-12-01,,,Seed,500000.0,BRL,214076.0,2000000.0,BRL,856306.0,Yes,Asaas helps individuals and companies automate financial processes and improve their relationship with customers.,,https://www.asaas.com,$100M to $500M,Early Stage Venture,10,"Joinville, Santa Catarina, Brazil, South America"
38,TownSq,https://www.crunchbase.com/organization/townsq,Pre Seed Round - TownSq,https://www.crunchbase.com/funding_round/townsq-pre-seed--d50c1ae7,250000.0,BRL,109566.0,Pre-Seed,"Mobile, Property Management, Real Estate, Software",2013-11-22,WOW Aceleradora,"Start-Up Brasil, WOW Aceleradora",Seed,250000.0,BRL,109565.0,200000.0,BRL,87652.0,Yes,TownSq is a global software company that offers property management solutions.,,https://www.townsq.com.br/,,M&A,1,"Porto Alegre, Rio Grande do Sul, Brazil, South America"
39,1234ENTER,https://www.crunchbase.com/organization/1234enter,Seed Round - 1234ENTER,https://www.crunchbase.com/funding_round/1234enter-seed--6343322e,650267.0,USD,650267.0,Seed,"Advertising, E-Commerce, Education, SaaS, Small and Medium Businesses",2013-11-22,,,Seed,150267.0,USD,150267.0,,,,Yes,1234ENTER is an SaaS that helps small and medium businesses to get started in digital marketing.,,http://www.1234enter.com.br,$1M to $10M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America"
40,Dom Rock,https://www.crunchbase.com/organization/dom-rock,Pre Seed Round - Dom Rock,https://www.crunchbase.com/funding_round/dom-rock-pre-seed--23f2d5ed,5331000.0,BRL,1393514.0,Pre-Seed,"Big Data, Data Mining, Information Technology, Machine Learning, Natural Language Processing, Predictive Analytics, Software",2013-11-21,André Almeida,André Almeida,Seed,331000.0,BRL,143950.0,,,,Yes,Dom Rock is a data lake and AI technology that helps organizations to leverage its competitive advantage through data.,,https://www.domrock.net,$1M to $10M,Seed,3,"São José Dos Campos, Sao Paulo, Brazil, South America"
41,Glean,https://www.crunchbase.com/organization/glean-f9e9,Non Equity Assistance - Glean,https://www.crunchbase.com/funding_round/glean-f9e9-non-equity-assistance--8e3cc0de,,USD,,Non-equity Assistance,"Business Development, Market Research, Service Industry",2013-11-19,,VentureOut,,,,,,,,No,GLean is a research services company that operates in the development of leaders who disseminate and guide the adoption of the philosophy.,,https://glean.com.br,,,1,"Florianópolis, Santa Catarina, Brazil, South America"
42,Curupira,https://www.crunchbase.com/organization/curupira,Pre Seed Round - Curupira,https://www.crunchbase.com/funding_round/curupira-pre-seed--6f4b5e85,150000.0,BRL,64626.0,Pre-Seed,"Environmental Engineering, Health Care, Internet, Service Industry, Software",2013-11-14,WOW Aceleradora,WOW Aceleradora,Seed,150000.0,BRL,64625.0,600000.0,BRL,258503.0,Yes,Curupira develops and organizes corporate environmental projects.,,http://www.curupira.com/,$1M to $10M,Seed,1,"Joinville, Santa Catarina, Brazil, South America"
43,Cabe na Mala,https://www.crunchbase.com/organization/cabe-na-mala,Seed Round - Cabe na Mala,https://www.crunchbase.com/funding_round/cabe-na-mala-seed--29a51ba4,34400.0,USD,34400.0,Seed,"Logistics, Public Transportation, Transportation, Travel",2013-11-14,,,Seed,34400.0,USD,34400.0,,,,Yes,Cabe na Mala connects consumers with travelers and enables them to get products from various cities delivered to their cities.,,http://cabenamala.com.br,Less than $1M,Seed,1,"Brasil, Sao Paulo, Brazil, South America"
44,Busca Acelerada,https://www.crunchbase.com/organization/busca-acelerada,Pre Seed Round - Busca Acelerada,https://www.crunchbase.com/funding_round/busca-acelerada-pre-seed--0b25a2e5,50000.0,BRL,21542.0,Pre-Seed,"Advertising, Automotive, E-Commerce, Search Engine",2013-11-14,WOW Aceleradora,WOW Aceleradora,Seed,50000.0,BRL,21541.0,150000.0,BRL,64625.0,Yes,"Busca Acelerada is an online portal to find automobiles such as cars, motorcycles, trucks, and watercraft as well as their parts.",,http://www.buscaacelerada.com.br,$1M to $10M,Seed,1,"Gravataí, Rio Grande do Sul, Brazil, South America"
45,Zoomyard,https://www.crunchbase.com/organization/zoomyard,Pre Seed Round - Zoomyard,https://www.crunchbase.com/funding_round/zoomyard-pre-seed--946a16a0,50000.0,BRL,21542.0,Pre-Seed,"Photography, Social Media, Video",2013-11-14,WOW Aceleradora,WOW Aceleradora,Seed,50000.0,BRL,21541.0,150000.0,BRL,64625.0,Yes,Zoomyard is a Brazilian social platform to find and hire professional photographers and videographers online.,,http://www.zoomyard.com/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America"
46,We Crowdcasting,https://www.crunchbase.com/organization/we-crowdcasting,Seed Round - We Crowdcasting,https://www.crunchbase.com/funding_round/we-crowdcasting-seed--69eca9d2,80000.0,USD,80000.0,Seed,"Apps, Collaboration, Mobile, Social Media, Software",2013-11-11,,,Seed,40000.0,USD,40000.0,,,,Yes,We Crowdcasting offers a platform for generating and opportunity to create NEWS in collaboration with your audience.,,http://www.wecrowdcasting.com,Less than $1M,Seed,2,"Brasil, Sao Paulo, Brazil, South America"
47,Sonoma,https://www.crunchbase.com/organization/sonoma,Venture Round - Sonoma,https://www.crunchbase.com/funding_round/sonoma-series-unknown--9f464cc5,2100000.0,USD,2100000.0,Venture - Series Unknown,"E-Commerce, Wine And Spirits",2013-11-05,,Karlani Capital,,500000.0,USD,500000.0,,,,Yes,E-commerce,,,$1M to $10M,,5,"São Paulo, Sao Paulo, Brazil, South America"
48,ContaAzul,https://www.crunchbase.com/organization/contaazul,Series B - ContaAzul,https://www.crunchbase.com/funding_round/contaazul-series-b--faaceebb,36983721.0,USD,36983721.0,Series B,"B2B, Education, Enterprise Resource Planning (ERP), Enterprise Software, Financial Services, FinTech, Internet, Sales, Software",2013-11-04,,"monashees, Napkn Ventures, Valar Ventures",Early Stage Venture,,,,,,,Yes,ContaAzul is an online platform for small businesses that helps organizing financial routines in one place.,,https://contaazul.com,$1M to $10M,Seed,6,"Joinville, Santa Catarina, Brazil, South America"
49,MadeiraMadeira,https://www.crunchbase.com/organization/madeiramadeira,Series B - MadeiraMadeira,https://www.crunchbase.com/funding_round/madeiramadeira-series-b--9558b050,338820267.0,USD,338820267.0,Series B,"E-Commerce, Furniture, Home and Garden, Home Decor, Home Improvement, Marketplace",2013-11-03,,"Flybridge, Kaszek, monashees",Early Stage Venture,4586000.0,USD,4586000.0,,,,Yes,MadeiraMadeira is an online marketplace that specializes in home products.,,http://www.madeiramadeira.com.br,$100M to $500M,Late Stage Venture,8,"Curitiba, Parana, Brazil, South America"
50,Já Entendi,https://www.crunchbase.com/organization/j-entendi,Seed Round - Já Entendi,https://www.crunchbase.com/funding_round/j-entendi-seed--b8ad0ff2,,USD,,Seed,"Content, Training, Video",2013-11-03,,500 Global,Seed,,,,,,,Yes,"Já Entendi offers a methodology capable of turning any training content such as books, manuals, and handouts into video lessons.",,http://jaentendi.com.br,,Seed,2,"Curitiba, Parana, Brazil, South America"
51,Trakto,https://www.crunchbase.com/organization/trakto-io,Non Equity Assistance - Trakto,https://www.crunchbase.com/funding_round/trakto-io-non-equity-assistance--936dbf39,1819807.0,USD,1819807.0,Non-equity Assistance,"Apps, Finance, Freelance, Graphic Design, Marketing, Publishing, Social Media, Software",2013-11-01,,"Bossanova Investimentos, Paulo Tenorio",,100000.0,BRL,44584.0,,,,No,Trakto is an easy and complete online editor that allows you to create your whole marketing material in a super fast and fun way.,,http://www.trakto.io,$1M to $10M,Early Stage Venture,13,"Maceió, Alagoas, Brazil, South America"
52,Phooto,https://www.crunchbase.com/organization/phooto,Seed Round - Phooto,https://www.crunchbase.com/funding_round/phooto-seed--27e9707d,5000000.0,USD,5000000.0,Seed,"Consumer Goods, E-Commerce, Photography",2013-11-01,,,Seed,2000000.0,USD,2000000.0,8000000.0,USD,8000000.0,Yes,"Phooto is a photo B2C business that sells prints, photobooks, and other products.",,https://www.phooto.com.br,,,3,"São Paulo, Sao Paulo, Brazil, South America"
53,Reglare,https://www.crunchbase.com/organization/reglare,Seed Round - Reglare,https://www.crunchbase.com/funding_round/reglare-seed--64701838,300000.0,BRL,127945.0,Seed,"Big Data, Enterprise Software, Software",2013-11-01,,Wayra,Seed,100000.0,BRL,44584.0,,,,Yes,Reglare specializes in search software and data processing through research and rules and extend business intelligence.,,http://www.reglare.com.br/,,,3,"São Paulo, Sao Paulo, Brazil, South America"
54,Aentropico,https://www.crunchbase.com/organization/aentropico,Grant - Aentropico,https://www.crunchbase.com/funding_round/aentropico-grant--7ac4281f,478419.0,USD,478419.0,Grant,"Analytics, Big Data, Business Intelligence, Predictive Analytics, SaaS, Software",2013-11-01,,MassChallenge,,,,,,,,No,Aentropico offers a predictive analytics platform that allows businesses to get predictive insights into their daily business activities.,,,Less than $1M,Seed,4,"Rio De Janeiro, Rio de Janeiro, Brazil, South America"
55,BemDireto,https://www.crunchbase.com/organization/bemdireto,Series B - BemDireto,https://www.crunchbase.com/funding_round/bemdireto-series-b--44a90e56,,USD,,Series B,"Commercial Real Estate, Marketplace, Real Estate, Residential",2013-11-01,,,Early Stage Venture,,,,,,,Yes,"BemDireto is the leading Brazilian marketplace for real estate agents, allowing quick and practical connection between buyers and brokers.",,http://www.bemdireto.com.br,$1M to $10M,Early Stage Venture,2,"Rio De Janeiro, Rio de Janeiro, Brazil, South America"
